,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
0,Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,128,Intel
1,Apple,Ultrabook,8,Mac,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel
2,HP,Notebook,8,Others,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel
3,Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD
4,Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel
5,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113652,AMD Processor,500,0,AMD
6,Apple,Ultrabook,16,Mac,2.04,0,1,220.53462386625827,Intel Core i7,0,0,Intel
7,Apple,Ultrabook,8,Mac,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel
8,Asus,Ultrabook,16,Windows,1.3,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia
9,Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel
10,HP,Notebook,4,Others,1.86,0,0,100.45466986113652,Intel Core i5,500,0,Intel
11,HP,Notebook,4,Others,1.86,0,0,141.21199808219862,Intel Core i3,500,0,Intel
12,Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,0,256,AMD
13,Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD
14,Apple,Ultrabook,8,Mac,0.92,0,1,226.4155471693585,Other Intel Processor,0,256,Intel
15,Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel
16,Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD
17,Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD
18,Lenovo,Notebook,8,Others,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
19,Dell,Ultrabook,8,Windows,1.22,1,1,165.6321180513006,Intel Core i5,0,128,Intel
20,Asus,Netbook,2,Windows,0.98,0,0,135.0942111925629,Other Intel Processor,0,0,Intel
21,Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
22,HP,Notebook,4,Others,1.86,0,0,100.45466986113652,AMD Processor,500,0,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,1,0,165.6321180513006,Intel Core i5,0,256,Intel
24,HP,Ultrabook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,0,256,Intel
25,Dell,Notebook,4,Windows,2.3,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
26,Apple,Ultrabook,8,Mac,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel
27,Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD
28,Dell,Ultrabook,8,Windows,1.88,0,0,141.21199808219862,Intel Core i7,0,512,Intel
29,HP,Notebook,8,Windows,2.5,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia
30,Chuwi,Notebook,4,Windows,1.89,0,0,141.21199808219862,Other Intel Processor,0,0,Intel
31,Asus,Notebook,2,Windows,1.65,0,0,111.93520355955212,AMD Processor,0,0,AMD
32,HP,Notebook,4,Windows,2.71,0,0,127.33567457123112,AMD Processor,500,0,AMD
33,Dell,Ultrabook,16,Windows,1.2,1,0,276.053530085501,Intel Core i7,0,512,Intel
34,Apple,Ultrabook,8,Mac,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel
35,Lenovo,Notebook,4,Windows,1.44,0,0,111.93520355955212,Other Intel Processor,0,0,Intel
36,Acer,Notebook,4,Linux,2.1,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
37,Dell,Notebook,8,Windows,2.8,0,1,127.33567457123112,Intel Core i5,1000,128,AMD
38,HP,Notebook,4,Windows,1.86,0,0,100.45466986113652,Intel Core i5,1000,0,Intel
39,HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
40,Asus,Notebook,4,Linux,2.0,0,0,141.21199808219862,Intel Core i3,1000,0,Intel
41,Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
42,Asus,Notebook,8,Linux,2.3,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia
43,Acer,Notebook,4,Windows,2.2,0,1,141.21199808219862,Intel Core i5,0,256,Intel
44,Dell,2 in 1 Convertible,12,Windows,2.77,1,0,127.33567457123112,Intel Core i5,1000,0,Nvidia
45,Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel
46,Lenovo,Notebook,4,Others,2.2,0,0,100.45466986113652,Intel Core i3,0,128,Intel
